Rank(w), Word, Freq(w), r*P(w), log(r), log(Freq(w)) 
172,again,108,0.10808168964915343,2.2355284469075487,2.03342375548695,
173,both,108,0.10871007156571827,2.2380461031287955,2.03342375548695,
174,hand,108,0.10933845348228312,2.2405492482826,2.03342375548695,
175,between,108,0.10996683539884797,2.2430380486862944,2.03342375548695,
176,just,107,0.10957118752545529,2.24551266781415,2.0293837776852097,
177,something,107,0.11019375109094083,2.247973266361807,2.0293837776852097,
178,Queequeg,107,0.11081631465642637,2.250420002308894,2.0293837776852097,
179,towards,107,0.11143887822191191,2.2528530309798933,2.0293837776852097,
180,small,106,0.11101413859312272,2.255272505103306,2.0253058652647704,
181,full,106,0.11163088380752895,2.2576785748691846,2.0253058652647704,
182,tell,105,0.11118868912550184,2.2600713879850747,2.0211892990699383,
183,found,105,0.11179961598882876,2.2624510897304293,2.0211892990699383,
184,make,104,0.11133996625356374,2.2648178230095364,2.0170333392987803,
185,thy,103,0.11086867981614011,2.2671717284030137,2.012837224705172,
186,called,102,0.11038575667655787,2.2695129442179165,2.0086001717619175,
187,soon,102,0.11097922848664689,2.271841606536499,2.0086001717619175,
188,saw,101,0.11047885029382673,2.27415784926368,2.0043213737826426,
