Name of Restaurant, City, Country Code, Day of Week, Start Time, End Time
580 Bench,Melbourne,AU,0,07:00am,07:00am
580 Bench,Melbourne,AU,1,07:00am,07:00am
580 Bench,Melbourne,AU,2,07:00am,07:00am
580 Bench,Melbourne,AU,3,07:00am,07:00am
580 Bench,Melbourne,AU,4,07:00am,07:00am
5Church,Charlotte,US,0,11:00am,11:00am
5Church,Charlotte,US,1,11:00am,11:00am
5Church,Charlotte,US,2,11:00am,11:00am
5Church,Charlotte,US,3,11:00am,11:00am
5Church,Charlotte,US,4,11:00am,11:00am
5Church,Charlotte,US,5,11:00am,11:00am
5Church,Charlotte,US,6,10:00am,10:00am
62 Rokujuni,Sydney,AU,0,11:00am,11:00am
62 Rokujuni,Sydney,AU,0,6:00pm,6:00pm
62 Rokujuni,Sydney,AU,1,11:00am,11:00am
62 Rokujuni,Sydney,AU,1,6:00pm,6:00pm
62 Rokujuni,Sydney,AU,2,11:00am,11:00am
62 Rokujuni,Sydney,AU,2,6:00pm,6:00pm
62 Rokujuni,Sydney,AU,3,11:00am,11:00am
62 Rokujuni,Sydney,AU,3,6:00pm,6:00pm
62 Rokujuni,Sydney,AU,4,11:00am,11:00am
62 Rokujuni,Sydney,AU,4,6:00pm,6:00pm
678 Korean Bbq,Sydney,AU,0,11:00am,11:00am
678 Korean Bbq,Sydney,AU,1,11:00am,11:00am
678 Korean Bbq,Sydney,AU,2,11:00am,11:00am
678 Korean Bbq,Sydney,AU,3,11:00am,11:00am
678 Korean Bbq,Sydney,AU,4,11:00am,11:00am
678 Korean Bbq,Sydney,AU,5,11:00am,11:00am
678 Korean Bbq,Sydney,AU,6,11:00am,11:00am
6th Avenue Eats,Seattle,US,0,11:00am,11:00am
6th Avenue Eats,Seattle,US,1,11:00am,11:00am
6th Avenue Eats,Seattle,US,2,11:00am,11:00am
6th Avenue Eats,Seattle,US,3,11:00am,11:00am
6th Avenue Eats,Seattle,US,4,11:00am,11:00am
7 Leguas Mexican Grille,Denver,US,0,10:00am,10:00am
7 Leguas Mexican Grille,Denver,US,1,10:00am,10:00am
7 Leguas Mexican Grille,Denver,US,2,10:00am,10:00am
7 Leguas Mexican Grille,Denver,US,3,10:00am,10:00am
7 Leguas Mexican Grille,Denver,US,4,10:00am,10:00am
7 Leguas Mexican Grille,Denver,US,5,10:00am,10:00am
7 Leguas Mexican Grille,Denver,US,6,09:00am,09:00am
7 Leguas Mexican Grille,Denver,US,0,10:00am,10:00am
7 Leguas Mexican Grille,Denver,US,1,10:00am,10:00am
7 Leguas Mexican Grille,Denver,US,2,10:00am,10:00am
7 Leguas Mexican Grille,Denver,US,3,10:00am,10:00am
7 Leguas Mexican Grille,Denver,US,4,10:00am,10:00am
7 Leguas Mexican Grille,Denver,US,5,09:00am,09:00am
7 Leguas Mexican Grille,Denver,US,6,09:00am,09:00am
75 on Liberty Wharf,Boston,US,0,11:30am,11:30am
75 on Liberty Wharf,Boston,US,1,11:30am,11:30am
75 on Liberty Wharf,Boston,US,2,11:30am,11:30am
75 on Liberty Wharf,Boston,US,3,11:30am,11:30am
75 on Liberty Wharf,Boston,US,4,11:30am,11:30am
75 on Liberty Wharf,Boston,US,5,10:30am,10:30am
75 on Liberty Wharf,Boston,US,6,10:00am,10:00am
7th & Bake Patisserie Cafe,Canberra,AU,0,06:30am,06:30am
7th & Bake Patisserie Cafe,Canberra,AU,1,06:30am,06:30am
7th & Bake Patisserie Cafe,Canberra,AU,2,06:30am,06:30am
7th & Bake Patisserie Cafe,Canberra,AU,3,06:30am,06:30am
7th & Bake Patisserie Cafe,Canberra,AU,4,06:30am,06:30am
7th & Bake Patisserie Cafe,Canberra,AU,5,07:30am,07:30am
7th & Bake Patisserie Cafe,Canberra,AU,6,07:30am,07:30am
7th District,Charlotte,US,0,4:00pm,4:00pm
7th District,Charlotte,US,1,4:00pm,4:00pm
7th District,Charlotte,US,2,4:00pm,4:00pm
7th District,Charlotte,US,3,4:00pm,4:00pm
7th District,Charlotte,US,4,4:00pm,4:00pm
7th District,Charlotte,US,5,2:00pm,2:00pm
7th District,Charlotte,US,6,11:00am,11:00am
8 Hoxton Square,London,GB,0,0:00pm,0:00pm
8 Hoxton Square,London,GB,1,0:00pm,0:00pm
8 Hoxton Square,London,GB,2,0:00pm,0:00pm
8 Hoxton Square,London,GB,3,0:00pm,0:00pm
8 Hoxton Square,London,GB,4,0:00pm,0:00pm
8 Hoxton Square,London,GB,5,10:00am,10:00am
8 Hoxton Square,London,GB,6,10:00am,10:00am
800 Degrees,Las Vegas,US,0,11:00am,11:00am
800 Degrees,Las Vegas,US,1,11:00am,11:00am
800 Degrees,Las Vegas,US,2,11:00am,11:00am
800 Degrees,Las Vegas,US,3,11:00am,11:00am
800 Degrees,Las Vegas,US,4,11:00am,11:00am
800 Degrees,Las Vegas,US,5,11:00am,11:00am
800 Degrees,Las Vegas,US,6,11:00am,11:00am
888 Chinese Restaurant,Houston,US,0,10:00am,10:00am
888 Chinese Restaurant,Houston,US,1,10:00am,10:00am
888 Chinese Restaurant,Houston,US,2,10:00am,10:00am
888 Chinese Restaurant,Houston,US,3,10:00am,10:00am
888 Chinese Restaurant,Houston,US,4,10:00am,10:00am
888 Chinese Restaurant,Houston,US,5,11:00am,11:00am
888 Chinese Restaurant,Houston,US,6,11:00am,11:00am
8Bit,Melbourne,AU,0,11:00am,11:00am
8Bit,Melbourne,AU,1,11:00am,11:00am
8Bit,Melbourne,AU,2,11:00am,11:00am
8Bit,Melbourne,AU,3,11:00am,11:00am
8Bit,Melbourne,AU,4,11:00am,11:00am
8Bit,Melbourne,AU,5,11:00am,11:00am
8Bit,Melbourne,AU,6,11:00am,11:00am
8Elements Perfect Indian Cuisine,San Jose,US,0,11:30am,11:30am
8Elements Perfect Indian Cuisine,San Jose,US,1,11:30am,11:30am
8Elements Perfect Indian Cuisine,San Jose,US,2,11:30am,11:30am
8Elements Perfect Indian Cuisine,San Jose,US,3,11:30am,11:30am
8Elements Perfect Indian Cuisine,San Jose,US,4,11:30am,11:30am
8Elements Perfect Indian Cuisine,San Jose,US,5,11:30am,11:30am
8Elements Perfect Indian Cuisine,San Jose,US,6,11:30am,11:30am
8oz Burger & Co,Seattle,US,0,11:30am,11:30am
8oz Burger & Co,Seattle,US,1,11:30am,11:30am
8oz Burger & Co,Seattle,US,2,11:30am,11:30am
8oz Burger & Co,Seattle,US,3,11:30am,11:30am
8oz Burger & Co,Seattle,US,4,11:30am,11:30am
8oz Burger & Co,Seattle,US,5,11:30am,11:30am
8oz Burger & Co,Seattle,US,6,11:30am,11:30am
